timestamp,alert_id,severity,status,category,dst_port,flow_duration,flow_bytes_per_sec,flow_packets_per_sec,confidence,summary,recommended_action
2026-04-09T01:11:23Z,IDS-000001,critical,new,DDoS,80,1293792,8991.398927,7.72921768,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000002,critical,new,DDoS,80,4421382,5.42816703,0.904694505,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000003,critical,new,DDoS,80,1083538,10730.58813,8.306123089,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000004,critical,new,DDoS,80,80034360,145.6499433,0.149935603,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000005,critical,new,DDoS,80,642654,18101.49785,14.0044254,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000006,critical,new,DDoS,80,79731718,146.2027947,0.163046781,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000007,critical,new,DDoS,80,306157,37996.84476,29.39668209,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000008,critical,new,DDoS,80,79780371,146.1888414,0.150412938,0.9,DDoS activity detected targeting destination port 80,"Escalate immediately, confirm service impact, and activate DDoS mitigation controls"
2026-04-09T01:11:23Z,IDS-000009,medium,new,PortScan,80,5021059,421.6242032,2.190772903,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
2026-04-09T01:11:23Z,IDS-000010,medium,new,PortScan,80,5024211,421.3596921,2.189398495,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
2026-04-09T01:11:23Z,IDS-000011,medium,new,PortScan,80,52,0.0,38461.53846,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
2026-04-09T01:11:23Z,IDS-000012,medium,new,PortScan,80,5386396,0.0,0.742611572,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
2026-04-09T01:11:23Z,IDS-000013,medium,new,PortScan,80,5018079,421.6753064,2.192073899,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
2026-04-09T01:11:23Z,IDS-000014,medium,new,PortScan,80,101,0.0,19801.9802,0.75,PortScan activity detected targeting destination port 80,"Review source activity, confirm reconnaissance, and consider blocking the source"
